,realtime,%cpu,rchar,wchar,syscr,syscw,read_bytes,write_bytes,%mem,vmem,rss,peak_vmem,peak_rss,vol_ctxt,inv_ctxt,scheme,samples,threads,type,iter,size_bytes
864,16932,1503,722273674,579385476,76143,17774,20697088,0,0,1989632,69760,2407628,70152,27925,879,enteritidis_v1.0.7,1,1,single,9,133140452
865,28443,1175,803832731,665249416,86499,20404,20697088,0,0,2396384,70068,2407628,70464,38503,37270,enteritidis_v1.0.7,1,1,single,10,128835636
866,47450,5062,2649720763,1650201253,238140,189166,33693696,9547776,3,9963140,851516,10022980,860828,40358,79,enteritidis_v1.0.7,1,32,snippy,1,104818648
867,480657,1162,6340687276,5343619958,737854,568850,33693696,3256320,8,8609748,2239580,8686784,2312220,175204,58790,enteritidis_v1.0.7,1,1,snippy,1,283728415
868,202040,2866,5336289818,4442561900,605898,479111,33693696,2674688,6,9081100,1672072,9182056,1709040,116507,29311,enteritidis_v1.0.7,1,4,snippy,1,251976854
869,101027,1318,4042994498,3121708466,410361,95664,20716544,0,0,2394268,70248,2407628,70628,144332,86025,enteritidis_v1.0.7,1,1,single,6,911538626
870,29177,1437,1178545888,878373215,117457,26934,20697088,0,0,1989628,69372,2407624,69768,40353,13245,enteritidis_v1.0.7,1,1,single,6,290424908
871,20989,1567,1112890159,866665433,114368,26575,20697088,0,0,2396912,69888,2407624,70280,36927,582,enteritidis_v1.0.7,1,1,single,1,236476990
872,32276,1400,1343393502,1046897545,137923,32097,20697088,0,0,1989636,70136,2407632,70528,45095,15262,enteritidis_v1.0.7,1,1,single,5,286748227
873,32341,1135,907858069,713326673,94076,21878,20697088,0,0,2392604,69540,2407628,69936,37598,59510,enteritidis_v1.0.7,1,1,single,4,184783709
874,22525,1458,1061279204,854224129,111654,26195,20697088,0,0,1989632,69520,2407628,69912,41046,2330,enteritidis_v1.0.7,1,1,single,5,197307350
875,46930,1343,1808364688,1357624935,180584,41617,20697088,0,0,2382104,70344,2407632,70740,55354,33530,enteritidis_v1.0.7,1,1,single,2,440992030
876,21450,1357,761222186,599391788,79172,18387,20697088,0,0,2396656,69760,2407624,70044,30018,17744,enteritidis_v1.0.7,1,1,single,1,152082639
877,14767,1433,573713205,437899364,58659,13439,20716544,0,0,2383196,70016,2407628,70412,21641,5126,enteritidis_v1.0.7,1,1,single,8,126066089
878,139104,6986,9814142086,7847558830,1063719,838792,33693696,11026432,14,10135172,3640912,10154996,4211384,228734,1216,enteritidis_v1.0.7,1,32,snippy,1,430217069
879,46892,1531,2215466804,1692677739,223669,51882,20697088,0,0,2397232,69836,2407624,70232,65004,4185,enteritidis_v1.0.7,1,1,single,4,513041485
880,150227,2798,4080948656,3520109384,490712,392514,33693696,2498560,6,9080200,1623908,9146340,1673916,112843,34559,enteritidis_v1.0.7,1,4,snippy,1,127800331
881,91885,1397,4042994498,3121708466,410349,95664,20716544,0,0,2387696,70168,2407628,70548,143139,38086,enteritidis_v1.0.7,1,1,single,9,911538626
