250 SH genome assemblies	500 SH genome assemblies	750 SH genome assemblies	1000 SH genome assemblies
	SRR5239217	SRR2578274	SRR2043296
	SRR5239225	SRR2583943	SRR2043473
	SRR5239227	SRR2584318	SRR2043479
	SRR5239228	SRR2584389	SRR2043696
	SRR5239230	SRR2584391	SRR2043702
	SRR5239233	SRR2584394	SRR2047321
	SRR5241822	SRR2669157	SRR2047330
	SRR5241827	SRR2669161	SRR2047334
	SRR5241829	SRR2670601	SRR2054609
	SRR5241834	SRR2670696	SRR2060275
	SRR5241838	SRR2724060	SRR2062217
	SRR5241839	SRR2759138	SRR2062219
	SRR5241840	SRR2759139	SRR2064107
	SRR5241848	SRR2759145	SRR2064108
	SRR5241851	SRR2759146	SRR2064116
	SRR5277178	SRR2759149	SRR2067947
	SRR5278779	SRR2759152	SRR2068091
	SRR5297984	SRR2910992	SRR2070981
	SRR5438432	SRR2911004	SRR2070982
	SRR5447652	SRR2912651	SRR2070986
	SRR5460883	SRR2912656	SRR2070987
	SRR5501034	SRR2954368	SRR2071082
	SRR5508275	SRR2962358	SRR2075014
	SRR5508313	SRR2962664	SRR2075044
	SRR5576564	SRR2962667	SRR2075295
	SRR5584485	SRR2973819	SRR2078201
	SRR5585127	SRR2973821	SRR2078902
	SRR5585239	SRR2973822	SRR2082862
	SRR5585257	SRR3028747	SRR2082936
	SRR5599703	SRR3028754	SRR2082937
	SRR5599704	SRR3028755	SRR2085688
	SRR5631592	SRR3028756	SRR2085752
	SRR5631653	SRR3028757	SRR2085784
	SRR5632108	SRR3028758	SRR2086992
	SRR5632816	SRR3028759	SRR2088774
	SRR5632970	SRR3028760	SRR2088775
	SRR5712352	SRR3028763	SRR2096539
	SRR5714246	SRR3028764	SRR2102388
	SRR5725235	SRR3028786	SRR2102463
	SRR5804721	SRR3057163	SRR2103410
	SRR5804738	SRR3057168	SRR2121399
	SRR5804917	SRR3057169	SRR2121400
	SRR5821979	SRR3057172	SRR2121401
	SRR5861553	SRR3057201	SRR2121402
	SRR5861889	SRR3057202	SRR2121403
	SRR5868278	SRR3057205	SRR2121671
	SRR5876341	SRR3057206	SRR2125859
	SRR5876831	SRR3057207	SRR2132208
	SRR5892861	SRR3091331	SRR2143468
	SRR5912904	SRR3091410	SRR2143474
	SRR5920247	SRR3096088	SRR2143476
	SRR5927371	SRR3096096	SRR2143493
	SRR5944129	SRR3096105	SRR2152999
	SRR5945566	SRR3096106	SRR2153004
	SRR5955183	SRR3101786	SRR2156502
	SRR5955393	SRR3110379	SRR2156510
	SRR5962570	SRR3136890	SRR2156600
	SRR5967220	SRR3137153	SRR2156632
	SRR5982393	SRR3168644	SRR2163262
	SRR5995910	SRR3173558	SRR2174045
	SRR6011798	SRR3191437	SRR2182896
	SRR6014485	SRR3194566	SRR2182897
	SRR6029290	SRR3219142	SRR2182898
	SRR6029292	SRR3219161	SRR2182899
	SRR6038570	SRR3219185	SRR2182910
	SRR6038574	SRR3223093	SRR2192167
	SRR6042798	SRR3225368	SRR2193802
	SRR6107202	SRR3294537	SRR2227613
	SRR6117274	SRR3295537	SRR2227620
	SRR6128822	SRR3295791	SRR2407552
	SRR6129425	SRR3306215	SRR2407587
	SRR6133775	SRR3321861	SRR2407684
	SRR6160859	SRR3400013	SRR2407779
	SRR6165601	SRR3418279	SRR2407782
	SRR6178083	SRR3606808	SRR2426356
	SRR6182869	SRR3662611	SRR2426358
	SRR6197784	SRR3662612	SRR2426359
	SRR6207756	SRR3664812	SRR2426360
	SRR6217774	SRR3664813	SRR2532718
	SRR6218014	SRR3664815	SRR2532722
