250 ST genome assemblies	500 ST genome assemblies	750 ST genome assemblies	1000 ST genome assemblies
	SRR6117638	SRR4342900	SRR2538178
	SRR6117649	SRR4345496	SRR2538307
	SRR6117796	SRR4418394	SRR2567025
	SRR6117824	SRR4449968	SRR2567060
	SRR6128838	SRR4733949	SRR2567068
	SRR6155256	SRR4841694	SRR2567163
	SRR6155494	SRR5004553	SRR2571701
	SRR6165646	SRR5016931	SRR2669154
	SRR6203387	SRR5017141	SRR2749817
	SRR6203508	SRR5038646	SRR2831451
	SRR6215593	SRR5043452	SRR2911777
	SRR6217700	SRR5044084	SRR2962407
	SRR6236597	SRR5056643	SRR2968121
	SRR6238561	SRR5057297	SRR2969454
	SRR6243663	SRR5064882	SRR2969457
	SRR6243696	SRR5064898	SRR3027705
	SRR6254932	SRR5066084	SRR3031869
	SRR6255041	SRR5092331	SRR3048701
	SRR6283576	SRR5110566	SRR3049039
	SRR6289893	SRR5110573	SRR3049140
	SRR6294680	SRR5116924	SRR3049259
	SRR6300191	SRR5125992	SRR3049276
	SRR6310258	SRR5126031	SRR3049281
	SRR6310656	SRR5151778	SRR3049297
	SRR6311153	SRR5152053	SRR3049335
	SRR6311916	SRR5159788	SRR3049477
	SRR6324181	SRR5182240	SRR3049790
	SRR6324229	SRR5188727	SRR3049956
	SRR6334772	SRR5193325	SRR3055299
	SRR6336383	SRR5193429	SRR3057179
	SRR6344889	SRR5201339	SRR3062414
	SRR6350836	SRR5201390	SRR3081655
	SRR6350879	SRR5209721	SRR3081663
	SRR6353840	SRR5215734	SRR3082382
	SRR6354011	SRR5217465	SRR3098374
	SRR6354064	SRR5217472	SRR3110329
	SRR6356227	SRR5217720	SRR3110504
	SRR6359113	SRR5217723	SRR3115208
	SRR6359116	SRR5217782	SRR3147924
	SRR6380783	SRR5221447	SRR3151790
	SRR6412871	SRR5221606	SRR3169005
	SRR6412888	SRR5229123	SRR3169007
	SRR6425479	SRR5235669	SRR3184568
	SRR6425487	SRR5242683	SRR3184585
	SRR6434030	SRR5249612	SRR3184598
	SRR6434230	SRR5249621	SRR3184620
	SRR6434301	SRR5249630	SRR3184628
	SRR6439972	SRR5249679	SRR3184629
	SRR6468477	SRR5251097	SRR3184637
	SRR6475515	SRR5251584	SRR3214194
	SRR6475583	SRR5262313	SRR3217375
	SRR6481029	SRR5278649	SRR3271891
	SRR6481145	SRR5289521	SRR3284714
	SRR6650803	SRR5311486	SRR3285348
	SRR6651177	SRR5336254	SRR3285398
	SRR6682883	SRR5336304	SRR3285434
	SRR6703827	SRR5342995	SRR3286599
	SRR6726327	SRR5366196	SRR3295616
	SRR6750613	SRR5409062	SRR3295666
	SRR6760619	SRR5409208	SRR3306521
	SRR6764197	SRR5440593	SRR3319982
	SRR6791745	SRR5451261	SRR3321802
	SRR6843232	SRR5451284	SRR3321891
	SRR6879318	SRR546266	SRR3321902
	SRR6879810	SRR5471243	SRR3322069
	SRR6879828	SRR5483899	SRR3322108
	SRR6879935	SRR5486554	SRR3322109
	SRR6885336	SRR5501083	SRR3322115
	SRR6903135	SRR5565040	SRR3322273
	SRR6904581	SRR5572372	SRR3322352
	SRR6926968	SRR5573084	SRR3322690
	SRR6929533	SRR5576039	SRR3323019
	SRR6940270	SRR5578796	SRR3330219
	SRR6940325	SRR5583191	SRR3344459
	SRR6943475	SRR5583959	SRR3400503
	SRR6977058	SRR5583994	SRR3405747
	SRR6977158	SRR5584728	SRR3453150
	SRR7001551	SRR5585208	SRR3474685
	SRR7010283	SRR5586366	SRR3476796
	SRR7049814	SRR5586384	SRR3476805
	SRR7063497	SRR5588609	SRR3476849
	SRR7072104	SRR5588630	SRR3499837
	SRR7081939	SRR5590062	SRR3544671
	SRR7085280	SRR5590310	SRR3606584
	SRR7089222	SRR5628647	SRR3664682
	SRR7118990	SRR5631283	SRR3664768
	SRR7127897	SRR5631622	SRR3664770
	SRR7159934	SRR5632945	SRR3664771
	SRR7170357	SRR5633379	SRR3664790
	SRR7170388	SRR5633380	SRR3664817
	SRR7170584	SRR5655471	SRR3664825
	SRR7175525	SRR5659564	SRR3664852
	SRR7187108	SRR5659618	SRR3664882
	SRR7209520	SRR5664413	SRR3721477
	SRR7230377	SRR5677859	SRR3721582
	SRR7251053	SRR5684040	SRR3740200
	SRR7251499	SRR5712127	SRR3743943
	SRR7251504	SRR5712132	SRR3930227
	SRR7255368	SRR5714143	SRR3932892
	SRR7257151	SRR5750018	SRR3933562
	SRR7263170	SRR5753178	SRR3933672
	SRR7276588	SRR5756382	SRR3934217
	SRR7278079	SRR5760408	SRR3944423
	SRR7278509	SRR5761321	SRR3945764
	SRR7278687	SRR5787593	SRR4011998
	SRR7285694	SRR5799564	SRR4012609
	SRR7286846	SRR5799590	SRR4044593
	SRR7292846	SRR5808875	SRR4044658
	SRR7294462	SRR5812080	SRR4046385
	SRR7299211	SRR5816794	SRR4100146
	SRR7348104	SRR5819523	SRR4105006
